ID,Label
bn_1,0
bn_2,0
bn_3,0
bn_4,1
bn_5,0
bn_6,0
bn_7,0
bn_8,0
bn_9,0
bn_10,1
bn_11,0
bn_12,0
bn_13,0
bn_14,0
bn_15,0
bn_16,0
bn_17,1
bn_18,0
bn_19,0
bn_20,0
bn_21,1
bn_22,0
bn_23,0
bn_24,0
bn_25,0
bn_26,1
bn_27,0
bn_28,0
bn_29,0
bn_30,0
bn_31,0
bn_32,1
bn_33,0
bn_34,1
bn_35,0
bn_36,0
bn_37,0
bn_38,0
bn_39,0
bn_40,0
bn_41,0
bn_42,0
bn_43,1
bn_44,0
bn_45,1
bn_46,0
bn_47,0
bn_48,0
bn_49,0
bn_50,1
bn_51,0
bn_52,0
bn_53,0
bn_54,0
bn_55,0
bn_56,0
bn_57,0
bn_58,0
bn_59,0
bn_60,0
bn_61,0
bn_62,0
bn_63,1
bn_64,0
bn_65,1
bn_66,0
bn_67,0
bn_68,0
bn_69,0
bn_70,0
bn_71,0
bn_72,0
bn_73,0
bn_74,0
bn_75,0
bn_76,0
bn_77,0
bn_78,1
bn_79,0
bn_80,0
bn_81,0
bn_82,0
bn_83,1
bn_84,0
bn_85,1
bn_86,0
bn_87,0
bn_88,0
bn_89,0
bn_90,0
bn_91,0
bn_92,0
bn_93,0
bn_94,0
bn_95,1
bn_96,0
bn_97,0
bn_98,0
bn_99,0
bn_100,0
bn_101,1
bn_102,0
bn_103,0
bn_104,0
bn_105,1
bn_106,0
bn_107,0
bn_108,0
bn_109,0
bn_110,0
bn_111,0
bn_112,0
bn_113,1
bn_114,0
bn_115,0
bn_116,0
bn_117,0
bn_118,0
bn_119,0
bn_120,0
bn_121,1
bn_122,0
bn_123,0
bn_124,1
bn_125,1
bn_126,0
bn_127,0
bn_128,1
bn_129,1
bn_130,0
bn_131,0
bn_132,0
bn_133,1
bn_134,0
bn_135,0
bn_136,0
bn_137,0
bn_138,0
bn_139,0
bn_140,0
bn_141,1
bn_142,0
bn_143,1
bn_144,0
bn_145,1
bn_146,0
bn_147,0
bn_148,0
bn_149,0
bn_150,0
bn_151,0
bn_152,0
bn_153,0
bn_154,0
bn_155,0
bn_156,1
bn_157,0
bn_158,0
bn_159,0
bn_160,1
bn_161,1
bn_162,0
bn_163,0
bn_164,0
bn_165,0
bn_166,1
bn_167,0
bn_168,0
